日期,编译,测试,基础分,技术债,God组件,Stale引用,路由对齐,Spec覆盖,AC覆盖
2026-03-04,✓,✓,4/4,3,2,4,✗(1),6/13,2/77
2026-03-04,✓,✓,4/4,3,2,4,✓,6/13,2/77
2026-03-05,✓,✓,4/4,3,2,4,✓,13/13,11/77
2026-03-06,✓,✓,4/4,3,2,5,✓,13/13,11/77
2026-03-07,✓,✓,4/4,3,2,5,✓,13/13,11/77
2026-03-08,✓,✓,4/4,3,2,5,✓,13/13,11/77
2026-03-08,✓,✓,4/4,3,2,5,✓,13/13,21/60 (MVP)
2026-03-08,✓,✓,4/4,3,2,5,✓,13/13,21/60 (MVP)
2026-03-08,✓,✓,4/4,3,2,5,✓,13/13,20/60 (MVP)
2026-03-08,✓,✓,4/4,3,2,5,✓,13/13,30/60 (MVP)
2026-03-08,✓,✓,4/4,3,2,5,✓,13/13,43/60 (MVP)
2026-03-09,✓,✓,4/4,3,2,0,✓,13/13,tagged:43/53 valid:32/53 (-7E)
2026-03-09,✓,✓,4/4,3,2,0,✓,13/13,tagged:43/53 valid:32/53 (-7E)
2026-03-10,✓,✓,4/4,3,2,0,✓,13/13,tagged:43/53 valid:32/53 (-7E)
2026-03-11,✓,✓,4/4,3,2,0,✓,13/13,tagged:43/53 valid:32/53 (-7E)
